#Release 13.4 - par O.87xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun Feb 19 19:35:34 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DECODE_map.ncd
#OUTPUT FILE:      DECODE_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B8,Instr<7>,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B9,Clk,IBUF,IP_L13N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B10,Instr<8>,IBUF,IO_L12P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B11,Immed<24>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,Immed<12>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B14,Immed<2>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B15,Instr<1>,IBUF,IP_L02P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B16,Immed<25>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,Instr<19>,IBUF,IO_L01P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C2,RF_A<1>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,RF_B_sel,IBUF,IO_L25P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C4,Immed<31>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C5,RF_A<3>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,Instr<15>,IBUF,IO_L18P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C8,Instr<11>,IBUF,IP_L16P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C9,Immed<20>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,Immed<9>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,Instr<3>,IBUF,IP_L07P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,Immed<21>,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C15,Instr<0>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,Instr<25>,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D2,RF_A<0>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,ALU_out<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,RF_A<4>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D5,RF_A<2>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,Instr<16>,IBUF,IO_L21P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D7,Immed<14>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,Instr<9>,IBUF,IP_L16N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,Immed<28>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,Immed<8>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,Immed<11>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,Instr<4>,IBUF,IP_L07N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D13,Immed<22>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D14,Immed<1>,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,RF_A<6>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,RF_A<5>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,RF_A<8>,IOB,IO_L04N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E4,RF_B<4>,IOB,IO_L04P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,Instr<20>,IBUF,IO_L21N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E7,Instr<12>,IBUF,IO_L19N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E8,Instr<14>,IBUF,IO_L17P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E9,Immed<27>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E10,Immed<17>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,Instr<10>,IBUF,IO_L08P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E12,Immed<5>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E13,Immed<3>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,DIFFM,IO_L22P_1,UNUSED,,1,,,,,,,,,
E16,,DIFFS,IO_L22N_1,UNUSED,,1,,,,,,,,,
E17,,IBUF,IP,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,RF_A<9>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,RF_A<10>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,ALU_out<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F5,ALU_out<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,Zf_Se_Control,IBUF,IO_L19P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F8,Instr<13>,IBUF,IO_L17N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F9,Immed<15>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F10,Instr<5>,IBUF,IP_L10P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,Immed<18>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F12,Immed<7>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,,DIFFS,IO_L19N_1,UNUSED,,1,,,,,,,,,
F18,,DIFFM,IO_L19P_1,UNUSED,,1,,,,,,,,,
G1,ALU_out<3>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,RF_A<11>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,RF_B<6>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,RF_A<14>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G6,RF_A<13>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,Immed<30>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G10,Instr<6>,IBUF,IP_L10N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L20P_1,UNUSED,,1,,,,,,,,,
G15,,DIFFM,IO_L18P_1,UNUSED,,1,,,,,,,,,
G16,,DIFFS,IO_L18N_1,UNUSED,,1,,,,,,,,,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,RF_A<20>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,RF_B<0>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H3,RF_A<18>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,RF_A<19>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H5,RF_A<16>,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,RF_A<15>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,,DIFFM,IO_L17P_1,UNUSED,,1,,,,,,,,,
H15,,DIFFS,IO_L17N_1,UNUSED,,1,,,,,,,,,
H16,,DIFFM,IO_L16P_1,UNUSED,,1,,,,,,,,,
H17,,DIFFS,IO_L16N_1/A0,UNUSED,,1,,,,,,,,,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,RF_B<3>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J2,RF_A<7>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,RF_B<5>,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J5,RF_A<21>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J6,ALU_out<5>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,ALU_out<4>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,DIFFM,IO_L15P_1/A2,UNUSED,,1,,,,,,,,,
J13,,DIFFS,IO_L15N_1/A1,UNUSED,,1,,,,,,,,,
J14,,DIFFS,IO_L14N_1/A3/RHCLK7,UNUSED,,1,,,,,,,,,
J15,,DIFFM,IO_L14P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
J16,,DIFFS,IO_L13N_1/A5/RHCLK5,UNUSED,,1,,,,,,,,,
J17,,DIFFM,IO_L13P_1/A6/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,ALU_out<6>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,RF_B<2>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K4,RF_B<9>,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K5,RF_A<23>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,RF_A<22>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K7,ALU_out<7>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,DIFFS,IO_L11N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
K13,,DIFFM,IO_L11P_1/A10/RHCLK0,UNUSED,,1,,,,,,,,,
K14,,DIFFS,IO_L12N_1/A7/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
K15,,DIFFM,IO_L12P_1/A8/RHCLK2,UNUSED,,1,,,,,,,,,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,RF_A<17>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L2,RF_A<24>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L3,RF_B<14>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L4,RF_A<25>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L5,RF_B<1>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L6,RF_A<27>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,RF_WrEn,IBUF,IO_L09N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,,DIFFM,IO_L09P_1/A12,UNUSED,,1,,,,,,,,,
L17,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
L18,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
M1,ALU_out<9>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,ALU_out<14>,IBUF,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,RF_A<12>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M5,RF_B<8>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M6,ALU_out<20>,IBUF,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,RF_B<21>,IOB,IO_L12N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M10,RF_B<28>,IOB,IO_L16P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,,DIFFS,IO_L05N_1/VREF_1,UNUSED,,1,,,,,,,,,
M14,,DIFFM,IO_L05P_1,UNUSED,,1,,,,,,,,,
M15,,DIFFM,IO_L07P_1,UNUSED,,1,,,,,,,,,
M16,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,DIFFS,IO_L08N_1,UNUSED,,1,,,,,,,,,
N1,ALU_out<10>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,ALU_out<17>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,ALU_out<13>,IBUF,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,ALU_out<12>,IBUF,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,RF_B<15>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N8,RF_B<16>,IOB,IO_L09N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N9,RF_B<23>,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,RF_B<29>,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,RF_B<31>,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N12,MEM_out<16>,IBUF,IO_L21P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,DIFFS,IO_L04N_1,UNUSED,,1,,,,,,,,,
N15,,DIFFM,IO_L04P_1,UNUSED,,1,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,,DIFFM,IO_L08P_1,UNUSED,,1,,,,,,,,,
P1,ALU_out<21>,IBUF,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,ALU_out<19>,IBUF,IO_L21P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,ALU_out<23>,IBUF,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,ALU_out<24>,IBUF,IO_L22N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,RF_B<13>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P7,RF_A<30>,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,ALU_out<15>,IBUF,IO_L09P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P9,RF_B<17>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,RF_B<18>,IOB,IO_L15N_2/D1/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,RF_B<30>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,MEM_out<17>,IBUF,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P13,MEM_out<18>,IBUF,IO_L22P_2/A23,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,IBUF,IP,UNUSED,,1,,,,,,,,,
P16,,DIFFS,IO,UNUSED,,1,,,,,,,,,
P17,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,
P18,,DIFFS,IO_L06N_1,UNUSED,,1,,,,,,,,,
R1,ALU_out<25>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,ALU_out<27>,IBUF,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R3,ALU_out<26>,IBUF,IO_L23P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R4,ALU_out<22>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R5,RF_B<11>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
